gubun,gubun_1,gubun_2,question,answer
규정,생활체육 개요,생활체육의 이해,생활체육의 목표에 대해서 설명하시오.,내용의 다양화 / 환경의 복지화 / 방법의 합리화 / 활동의 생활화
규정,생활체육 개요,생활체육의 이해,생활체육 기능을 설명하시오.,사회적 기능- 더불어 보디빌딩을 수행하며 사회성을 발달시킨다./생리적 기능- 육체의 대사기능 등 생리활동을 활성화시키는데 기여한다./심리적 기능- 정신적 안정과 심리적인 편안함을 불러오는 데 도움을 준다.
규정,생활체육 개요,생활체육의 이해,생활체육의 구성 요소를 설명하시오.,생활 체육 시설/프로그램/지도자
규정,생활체육 개요,생활체육의 이해,생활체육의 원리를 설명하시오.,"평가성, 창조성, 목적성, 개별성, 자발성"
규정,생활체육 개요,생활체육 프로그램,생활체육 프로그램의 개념을 설명하시오.,"근력, 체력 증대, 여가선용등을 목적으로 여가시간에 자발적으로 행하는 생활체육 프로그램을 의미한다."
규정,생활체육 개요,생활체육 프로그램,생활체육 프로그램의 기획 단계(계획 과정)에 대해서 설명하시오.,"협회의 목적과 철학 이해, 참가자의 욕구 조사, 프로그램 목표 설정, 구체적인 프로그램 계획 설정, 프로그램 실행/평가/보안"
규정,생활체육 개요,생활체육 프로그램,생활체육 프로그램의 구성 원리에 대해서 설명하시오.,"평등성, 창의성, 욕구반영성, 전문성, 다양성, 보편성, 편의성, 평가성, 전달성"
규정,생활체육 개요,생활체육 프로그램,생활체육 프로그램의 구성 요소에 대해서 설명하시오.,"참가자, 지도자, 장소/시설, 재정, 활동 종목, 활동 안정성, 홍보"
규정,생활체육 개요,생활체육 프로그램,연령대별 생활체육 프로그램에 대해서 설명하시오.,"유아기 - 인지기능 발달, 놀이 중심의 체육활동 / 아동기 - 사회성 발달, 다양한 체육활동 경험 제공 / 청소년기 - 2차 성징 발현기, 평생체육의 기틀 마련 / 성인기 - 신체 정신적 성숙기, 유산소와 저항운동의 조화 / 노년기 - 신체 정신적 노화 발현. 활동형 레크리에이션 권장"
규정,생활체육 개요,생활 체육 지도,생활체육 지도의 원리에 대해서 설명하시오.,"개인차 고려, 자발적 참가, 다양한 정보 제공, 필요한 지식 전달, 과학적이고 쳬계적인 방법"
규정,생활체육 개요,생활 체육 지도,생활체육 지도의 목표에 대해서 설명하시오.,"신체적 - 건강 증진/운동 기술 습득, 정신적- 건전한 품성 개발, 삶의 즐거움 추구 사회적- 사회적 관계 개선, 사회적 안정 도모"
규정,생활체육 개요,생활 체육 지도자,생활체육 지도자의 개념/역할을 설명하시오.,"생활체육 목표설정, 효율적인 지도방법 개발, 운동 지도, 안전사고 유의, 법적 업무, 예산과 인사관리"
규정,생활체육 개요,생활 체육 지도자,생활체육 지도자의 자질을 설명하시오.,의사 전달 능력이있어야 하고 투철한 사명감이 있어야 하며 활달하고 강인한 성격이어야 한다. 또한 도덕적 품성을 갖추어야 하고 칭찬을 자주 해주며 공정성을 가진 자여야 한다.
규정,생활체육 개요,생활 체육 지도자,생활체육 지도자의 유의사항을 설명하시오.,개인참가자 개인차를 고려해야 하고 복장에 유의하여야 하며 약속 시간을 엄수해야 한다. 또한 정확한 정보 전달을 해주어야 하고 각각의 참가자들에게 공정(공평)하게 대해야 한다.
규정,생활체육 개요,생활 체육 지도자,생활체육 지도자의 기능을 설명하시오.,목표를 제시하고 목표 달성 방법을 제시하며 참가자들의 동기를 유발시켜야 한다. 또한 긍정적 분위기를 조성해야하며 동료의식이 강화되도록 지원해야 한다.
규정,생활체육 개요,생활 체육 종류,Sport for All에 대해서 설명하시오.,"모두를 위한 스포츠로, 성, 연령, 지위에 관계없이 모든 사람이 누구나 자유롭게 스포츠에 참가할 기회와 권리를 보장해주는 체육 개념"
규정,생활체육 개요,생활 체육 종류,에어로빅 운동에 대해서 설명하시오.,"심폐 능력 향상, 체중 감량 등에 효과가 있는 유산소운동"
규정,생활체육 개요,생활 체육 종류,웰니스 운동에 대해서 설명하시오.,"웰빙, 해피니스, 피트니스의 합성어로 신체적, 정신적, 사회적으로 균형잡힌 건강 상태를 유지하는 운동"
규정,생활체육 개요,생활 체육 종류,피트니스 운동에 대해서 설명하시오.,"미국의 생활체육 용어로, 건강 및 체력 증진, 여가선용을 위해 행하는 모든 체육활동을 의미합니다"
지도방법,규정포즈,보디빌딩,남자 보디빌딩 7개 규정 포즈는 무엇인가?,"프론트 더블 바이셉스, 프론트 랫 스프레드, 사이드 체스트, 백 더블 바이셉스, 백 랫 스프레드, 사이드 트라이셉스, 앱도미널 앤 타이"
지도방법,규정포즈,보디빌딩,남자 보디빌딩 4개 규정 포즈는 무엇인가?,"프론트 더블 바이셉스, 사이드 체스트, 백 더블 바이셉스, 앱도미널 앤 타이"
지도방법,규정포즈,클래식 보디빌딩,클래식 보디빌딩 7개 규정 포즈는 무엇인가?,"프론트 더블 바이셉스, 프론트 랫 스프레드, 사이드 체스트, 백 더블 바이셉스, 백 랫 스프레드, 사이드 트라이셉스, 앱도미널 앤 타이"
지도방법,규정포즈,클래식 보디빌딩,클래식 보디빌딩 4개 규정 포즈는 무엇인가?,"프론트 더블 바이셉스, 사이드 체스트, 백 더블 바이셉스, 앱도미널 앤 타이"
지도방법,규정포즈,클래식 피지크,남자 클래식 피지크 7개 규정 포즈는 무엇인가?,"프론트 더블 바이셉스, 사이드 체스트, 백 더블 바이셉스, 사이드 트라이셉스, 베큠 포즈, 앱도미널 앤 타이, 클래식 포즈 오브 애슬릿 초이스(자유포즈)"
지도방법,규정포즈,클래식 피지크,남자 클래식 피지크 4개 규정 포즈는 무엇인가?,"프론트 더블 바이셉스, 사이드 체스트, 백 더블 바이셉스,  베큠 포즈"
지도방법,규정포즈,남자 피지크,남자 피지크 규정 포즈 4가지는 무엇인가?,"쿼터턴 프론트, 쿼터턴 라이트, 쿼터턴 백, 쿼터턴 라이트"
지도방법,규정포즈,여자 피지크,여자 피지크 규정 포즈 4가지는 무엇인가?,"프론트 더블 바이셉스, 사이드 체스트, 백 더블 바이셉스, 사이드 트라이셉스"
지도방법,규정포즈,보디 피트니스,보디 피트니스 규정 포즈 4가지는 무엇인가?,"프론트 포지션, 쿼터턴 라이트(왼쪽 측면이 심판 향하게), 쿼터턴 백, 쿼터턴 라이트(오른쪽 측면이 심판 향하게)"
지도방법,규정포즈,비키니 피트니스,비키니 피트니스 규정 포즈 4가지는 무엇인가?,"프론트 포지션, 쿼터턴 라이트(왼쪽 측면이 심판 향하게), 쿼터턴 백, 쿼터턴 라이트(오른쪽 측면이 심판 향하게)"
지도방법,응급처치,CPR,CPR (심폐 소생술) 순서를 설명하시오.,"의식, 호흡, 맥박 확인/119 신고 요청, 자동제세동기 요청/흉부 압박법 실시(30회 실시)/기도 확보/인공 호흡(2회 실시)/자동제세동기 사용"
지도방법,응급처치,CPR,CPCR(심폐뇌소생술)를 설명하시오.,"CPR에 심폐 뇌 소생술을 추가한 것으로, 전문 의료인이 실시합니다. 심폐기능 소생과 함께 뇌 기능을 소생시키는 처치로, 환자의 뇌 손상 예방을 목적으로 합니다"
지도방법,응급처치,CPR,자동 심장충격기 AED 사용법에 대해서 설명하시오,"1. 전원 켜기 2. 왼쪽 젖꼭지 아래, 오른쪽 쇄골 밑에 패드 부착 3. 심장 리듬 분석 4. 전기 충격 5. 심폐소생술 진행"
지도방법,응급처치,CPR,물기를 닦아내지 못하는 상황에서의 AED사용법을 설명하시오,"감전 위험이 있기 때문에, AED를 사용하기 보다는 심폐소생술을 실시해야 합니다"
지도방법,응급처치,CPR,환자의 몸에 물기가 있는 경우 AED사용법을 설명하시오,물기를 닦아내고 사용합니다.
지도방법,응급처치,CPR,AED를 사용하지 못하는 경우 응급처치법을 설명하시오,심폐소생술을 실시합니다.
지도방법,응급처치,CPR,자동심장충격기에서 심장 충격이 필요하다고 했을 때의 행동은?,"주변 사람들 모두가 환자에게서 떨어지도록 하고, 본인도 떨어진 후 심장 충격을 실시합니다."
지도방법,응급처치,CPR,"심장의 역할, 심폐소생술 시에 완전히 가슴을 이완시키는 이유","심장은 수축과 이완을 반복하며 온 몸에 피를 돌게 하는 혈액순환, 체온 유지 전달등의 역할을 하고 있습니다.
심폐소생술 시에 가슴을 완전히 이완시켜야 심장도 완전히 이완되기 때문에, 
완전히 이완되는 것을 확인하고 다시 압박함을 통해서 효율적인 혈액순환이 가능하도록 돕습니다."
지도방법,응급처치,응급상황 대처요령,First Aid(응급 처치)를 설명하시오.,"갑자기 발생한 외상이나 질환에 대해 최소한의 긴급처치를 하는 것입니다. 응급처치를 통해 환자의 통증 감소, 장애 방지, 치료기간 단축 등의 효과를 볼 수 있습니다."
지도방법,응급처치,응급상황 대처요령,응급처치 유형을 설명하시오.,"하임리히법, 심폐소생술, rices"
지도방법,응급처치,응급상황 대처요령,하임리히법 압박 위치와 이유를 설명하시오.,"배꼽과 명치 사이를 압박합니다. 배꼽과 명치 사이에는 우리가 숨 쉴 때 사용하는 횡격막이 있는데, 이 횡격막을 강하게 수축시켜 숨을 뱉어내게 해 이물질을 제거해낼 수 있기 때문입니다."
지도방법,응급처치,응급상황 대처요령,CPR(심폐소생술)를 설명하시오.,CPR이라고도 합니다. 심정지가 된 환자에게 인위적으로 심폐기능을 순환시켜 소생할 수 있도록 돕는 응급처치입니다.
지도방법,응급처치,응급상황 대처요령,rices를 설명하시오.,rest 휴식 / ice 얼음찜질 / compression 압박 / elevation 거상 / sprint 부목
지도방법,응급처치,응급상황 대처요령,출혈성 쇼크를 설명하시오.,사고나 외상에 의해 출혈이 발생하는것을 말하며 전체 혈액량의 15-20%손실시 발생함 / 즉시 119에 신고해야 하고 응급처치로는 다리를 거상하여 심장으로 혈액을 보내는 방법이 있습니다
지도방법,응급처치,응급상황 대처요령,저혈당 쇼크를 설명하시오.,인슐린의 과다분비로 혈당이 떨어져서 쇼크가 오는 것. 의식이 있다면 빠르게 당 보충하고  의식이 없다면 119에 신고합니다.
지도방법,응급처치,응급상황 대처요령,응급 처치시 3C에 대해서 설명하시오.,"Check, call, care 환자의 상태를 check하고, 119에 call하며, 환자를 care해야 합니다."
지도방법,응급처치,응급상황 대처요령,출혈 시 응급처치법을 설명하시오.,"의식확인 후 의식이 있다면 허락을 먼저 받고, 의식이 없다면 응급처치를 바로 시행 / 상처부위를 살핀 후 깨끗한 거즈나 천으로 압박하여 지혈을 진행합니다 피가 멈추지 않거나 출혈량이 너무 많으면 119에 신고"
지도방법,응급처치,응급상황 대처요령,의식이 있는 환자의 응급처치법을 설명하시오.,1. 소속과 이름을 밝힙니다. 2. 동의를 얻은 뒤 상태를 살핍니다 3. 응급처치를 진행합니다.
지도방법,응급처치,응급상황 대처요령,기도 폐쇄 유형과 응급처치법을 설명하시오.,"기도 폐쇄 유형은 부분 폐쇄, 완전 폐쇄가 있습니다. 부분 폐쇄의 경우에는 등 두드리기, 기침 유도등으로 이물질을 제거해낼 수 있습니다. 완전 폐쇄의 경우에는 하임리히법을 실시합니다."
지도방법,응급처치,응급상황 대처요령,드레싱을 사용하는 이유를 설명하시오.,상처의 소독으로 2차 감염 방지와 함께 삼출물(진물) 흡수로 빠른 상처의 회복을 도울 수 있습니다.
지도방법,웨이트트레이닝,개요,파워의 정의에 대해 설명하시오.,단위시간동안에 측정된 에너지의 양
지도방법,웨이트트레이닝,개요,근육의 특징 3가지를 설명하시오.,수축성 탄력성 피자극성
지도방법,웨이트트레이닝,개요,근육 수축종류 3가지를 설명하시오.,등장성 신장성 등척성
지도방법,웨이트트레이닝,개요,근파워의 정의에 대해 설명하시오.,순발력이라고도 한다. 근력과 속도에 의해 결정된다
지도방법,웨이트트레이닝,개요,파워존에 대해 설명하시오.,고관절을 중심으로 배 허벅지등으로 구성된 우리 몸의 중심부를 말한다. 인간이 활동을 가능하게 하는 힘의 원천이다
지도방법,웨이트트레이닝,개요,체력의 종류를 설명하시오.,운동체력과 방위체력이 있습니다 방위체력 - 면역력 담당 운동 체력 - 근력 근지구력 심폐지구력 유연성 등
지도방법,웨이트트레이닝,개요,신체 유형 3가지를 설명하시오.,외배엽(마른체질 체중증가 어려움) 중배엽(기본골격 잘 발달 근육량많음) 내배엽(흉부 복부 두텁 지방많은 과체중)
지도방법,웨이트트레이닝,개요,준비운동의 필요성을 설명하시오.,"준비운동을 통해 체온을 미리 상승시키고 근육을 풀어줌을 통해 운동 중의 부상 예방과 함께, 관절의 가동범위 증가로 더 효율적인 운동이 가능합니다."
지도방법,웨이트트레이닝,개요,스트레칭의 종류를 설명하시오.,정적 동적 탄성
지도방법,웨이트트레이닝,개요,유연성을 설명하시오.,관절 가동범위로 근육이 이완되는 길이
지도방법,웨이트트레이닝,개요,트레이닝의 요소를 설명하시오.,운동 빈도 운동 시간 운동 강도
지도방법,웨이트트레이닝,개요,FITT에 대해 설명하시오.,Frequency 운동빈도 Intensity 운동강도 Time 운동시간 Type 운동 종류를 줄인 말
지도방법,웨이트트레이닝,개요,트레이닝의 원리를 설명하시오.,과부하 점진성 반복성 특이성 개별성
지도방법,웨이트트레이닝,개요,웨이트 트레이닝의 효과를 설명하시오.,"우울증 예방, 체지방량 감소, 스트레스 감소, 근육량 증가, 근력 증가, 체력 증가 등"
지도방법,웨이트트레이닝,개요,초보자의 트레이닝 원리를 설명하시오.,"분할 원리, 혼동 원리, 세트 원리, 점진적 과부하 원리"
지도방법,웨이트트레이닝,개요,상급자의 트레이닝 원리를 설명하시오.,피크 컨트렉션 - 근육이 긴장한 상태에서 1~2초 멈췄다가 이완 / 자이언트 세트 치팅 원리 트라이 세트 디센딩 원리
지도방법,웨이트트레이닝,개요,운동 자각도 구하는 법을 설명하시오.,운동을 진행한다. 얼마나 힘든지 6~20의 수치로 나타낸다. 거기에 10을 곱하면 목표심박수 6 > 초저강도 12~14 > 중강도. 최대 운동강도의 60%
지도방법,웨이트트레이닝,개요,"발살바 호흡법이란 무엇이고 장,단점을 설명하시오.","최대 근력을 내기 위해 숨을 최대한 들이마셔 복압을 잡아 상체 지지력을 높이는 것입니다. 더 높은 중량을 들 수 있다는 장점이 있지만, 발살바를 진행하면 혈압이 급격하게 상승했다가 긎격하게 떨어지는 게 반복되어 어지럼증, 두통을 느낄 수 있으며 고혈압, 성인병 환자의 경우에는 위험함"
지도방법,웨이트트레이닝,개요,로첵 상태를 설명하시오.,"웨이트 트레이닝 용어 중 하나로, 최대 근력을 발휘하기 위해 근육이 최대로 수축되어 있는 상태를 의미합니다."
지도방법,웨이트트레이닝,개요,"인체에서 가장 큰 근육 3개, 넓은 근육 1개를 설명하시오.",대흉근(벤치프레스) 대퇴근(스쿼트) 대둔근(덩키킥) / 광배근(풀업)
지도방법,웨이트트레이닝,개요,하체근육의 종류에 대해 설명하시오.,대퇴직근 외측광근 내측광근 중간광근 대퇴이두 대퇴사두 가자미근 비복근
지도방법,웨이트트레이닝,개요,척추기립근 운동을 설명하시오.,데드리프트 / 굿모닝 엑서사이즈 / 백 익스텐션 / 하이퍼 익스텐션
지도방법,웨이트트레이닝,개요,복직근 운동을 설명하시오.,"크런치, 리버스 크런치, 행잉 레그레이즈, 레그레이즈, 시티드 니업, 오블리크 크런치"
지도방법,웨이트트레이닝,개요,프리웨이트와 머신의 차이를 설명하시오.,"프리웨이트: 장점 - 다양한 근육군에 자극을 줄 수 있고, 무거운 무게로 수행할 수 있습니다. 단점 - 관절, 인대가 받는 스트레스가 늘어나고, 부상 위험이 커집니다. 초보자가 수행하기엔 어려울 수 있습니다. / 머신 장점 - 부상의 위험이 적고, 초보자도 쉽게 할 수 있습니다 단점 - 가동범위가 제한되어 있고, 다양한 근육군에 자극을 주기는 어렵습니다."
지도방법,웨이트트레이닝,개요,다중 관절 운동을 설명하시오.,"2개 이상, 여러 개의 관절을 사용하여 하는 운동"
지도방법,웨이트트레이닝,개요,단순 관절 운동을 설명하시오.,한 개의 관절만 이용해 진행하는 운동
지도방법,웨이트트레이닝,개요,"운동순서, 배열의 원칙을 설명하시오.",다중관절운동에서 단순관절운동으로 넘어간다
지도방법,웨이트트레이닝,개요,선피로법을 설명하시오.,"단순관절운동을 진행한 후, 다중관절운동을 진행하는 것"
지도방법,웨이트트레이닝,개요,근우선법을 설명하시오.,"가장 약한 근육부위를 먼저 운동한 후, 다른 운동을 실시하는 것입니다."
지도방법,웨이트트레이닝,개요,그립의 종류를 최소 5가지 이상 말하시오.,"오버그립, 언더그립, 섬레스 그립, 훅 그립, 리버스 그립, 와이드 그립, 내로우 그립, 얼터네이트 그립"
지도방법,웨이트트레이닝,개요,세트훈련법에 대해서 설명하시오.,"근비대를 위한 훈련법. 슈퍼세트, 컴파운드세트, 트라이세트, 자이언트세트가 있다"
지도방법,웨이트트레이닝,개요,슈퍼 세트에 대해서 설명하시오.,주동근과 길항근의 운동을 번갈아가며 하는 운동법
지도방법,웨이트트레이닝,개요,컴파운드 세트에 대해서 설명하시오.,같은 근육부위에 대한 2가지 운동방법을 실시하는 것
지도방법,웨이트트레이닝,개요,피라미트 세트에 대해서 설명하시오.,운동의 부하(중량)을 높여가며 운동하는 방법
지도방법,웨이트트레이닝,개요,역피라미드 세트에 대해서 설명하시오.,무게를 점점 내려가며 운동하는 방법
지도방법,웨이트트레이닝,개요,드롭 세트에 대해서 설명하시오.,"실패지점에 도달했을 때, 휴식 없이 무게를 낮춰 2차, 3차, 4차 실패지점까지 운동하는 방법"
지도방법,웨이트트레이닝,개요,디센딩 세트에 대해서 설명하시오.,"실패지점에 도달했을 때, 휴식 없이 무게를 낮춰 2차 실패지점까지 운동하는 방법"
지도방법,웨이트트레이닝,개요,트라이 세트에 대해서 설명하시오.,동일한 근육 무리에 자극을 줄 수 있는 3가지 운동을 휴식 없이 진행하는 운동법
지도방법,웨이트트레이닝,개요,자이언트 세트에 대해서 설명하시오.,동일한 근육 무리에 자극을 줄 수 있는 4-6가지 운동을 휴식 없이 / 거의 쉬지 않고 연속적으로 하는 운동법이다
지도방법,웨이트트레이닝,개요,서킷 트레이닝에 대해서 설명하시오.,8~12개의 운동을 휴식 없이 실시하는 것이다. 심폐 기능 향상에 큰 도움이 된다.
지도방법,웨이트트레이닝,개요,인터벌 트레이닝에 대해서 설명하시오.,고강도의 운동 사이에 불완전한 휴식을 집어넣어 운동을 하는 것이다.
지도방법,웨이트트레이닝,개요,오버 트레이닝에 대해서 설명하시오.,고강도의 운동을 지속적으로 무리하게 진행해 만성적 피로 상태에 빠지는 것
지도방법,웨이트트레이닝,개요,근육 혼동의 원리에 대해 설명하시오.,"근성장을 도모하기 위해 트레이닝의 무게, 방법, 횟수등에 변화를 주는 원리입니다"
지도방법,웨이트트레이닝,개요,산소 부채에 대해서 설명하시오.,운동후 안정시 호흡보다 더 많은 산소를 필요로 하여 산소 부채라고도 불립니다 운동 시간 강도에 비례합니다
지도방법,웨이트트레이닝,개요,초과 회복에 대해서 설명하시오.,"운동후 휴식을 취했을 떄, 운동 전보다 체력 수준이 높아지는 현상입니다"
지도방법,웨이트트레이닝,개요,스트레이팅에 대해 설명하시오.,반동 없이 정확한 자세로 운동을 수행하는 것
지도방법,웨이트트레이닝,개요,치팅에 대해 설명하시오.,"실패 지점에 도달했을 때, 반동을 이용해 몇 개 더하는 것"
지도방법,웨이트트레이닝,개요,플러싱에 대해 설명하시오.,근육을 성장시키기 위해 같은 근육에 계쏙적인 자극을 주어 충혈시키는 것
지도방법,웨이트트레이닝,개요,피크 컨트렉션을 설명하시오.,근육이 긴장한 상태에서 1~2초간 멈추었다가 이완하는 운동법
지도방법,웨이트트레이닝,개요,목표심박수 구하는 방법 (카보넨공식)을 설명하시오.,(최대심박수 - 안정시 심박수)x 운동강도 + 안정시 심박수
지도방법,웨이트트레이닝,개요,1RM에 대해 설명하시오.,1RM은 최대 근력으로 한번 들 수 있는 무게를 말합니다. 1RM 공식은 무게 X 횟수 X 0.025 + 무게 입니다. 
지도방법,웨이트트레이닝,운동 지도방법,시티드 카프레이즈 지도방법,앉은 상태로 발뒤꿈치를 최대한 들어 올리고 내릴 때 발뒤꿈치가 지면에 닿기 전에 다시 올린다.
지도방법,웨이트트레이닝,운동 지도방법,라잉트라이셉스 익스텐션의 지도방법,벤치에 등을 대고 누워 가슴은 들고 척추는 정상 만곡을 유지한 후 양손의 간격을 어깨너비보다 좁게 하여 바벨을 머리 쪽으로 내립니다. 바벨을 잡은 팔이 지면과 수직이 되도록 잡고  바를 내릴 때 숨을 들이마시고 올릴 때 내뱉습니다.
지도방법,웨이트트레이닝,운동 지도방법,레그레이즈 지도방법,숨을 내쉬며 양발이 바닥과 90도를 이룰 때까지 올린 후 양 어깨와 등 상부를 바닥에 밀착시킨 상태로 발끝이 바닥에 닿지 않을 정도까지 천천히 내린 후 동작을 반복한다.
지도방법,웨이트트레이닝,운동 지도방법,프론트 스쿼트 지도방법,바벨은 쇄골과 어깨로 지탱한 후 가슴과 팔꿈치를 들고 허리는 꼿꼿이 세우고 무릎이 발끝을 넘지 않게 시선은 정면을 주시하고 실시하도록 지도합니다
지도방법,웨이트트레이닝,운동 지도방법,바벨컬 지도방법,바를 잡는 어깨너비 정도로 잡고 팔꿈치가 움직이지 않게 고정한 후 바를 들어 올릴 때 호흡을 내쉽니다.
지도방법,웨이트트레이닝,운동 지도방법,레터럴 레이즈 지도방법,덤벨을 오버그립으로 잡고 팔꿈치를 살짝 구부려준 뒤 허벅지 옆에 위치시킵니다. 측면 삼각근의 힘을 이용해 덤벨을 어깨와 수평이 되도록 들어 올립니다.
지도방법,웨이트트레이닝,운동 지도방법,바벨 로우 지도방법,허리는 곧게 펴고 엉덩이를 심하게 뒤로 빼지 않은 채로 무릎은 바를 내리면서 약간 구부립니다. 바를 올리는 동작 시 배 방향으로 올리고 등은 곧게 폅니다
지도방법,웨이트트레이닝,운동 지도방법,백 익스텐션 지도방법,매트에 배를 대고 누워 손등을 허리나 머리위로 쭉핀뒤 다리는 곧게 펴 상체와 하체를 하늘로 살짝 들어올리며 척추기립근을 수축하며 호흡을 뱉고 다시내려가며 호흡을 들이마신다
지도방법,웨이트트레이닝,포즈 지도방법,남자 프론트 더블 바이셉스 지도방법,전면 상완 이두근을 강조하는 포징입니다. 정면에서 두 팔을 들어 어깨와 수평을 이루게 한 후 팔꿈치를 구부립니다. 한발은 앞으로 꺼내 옆으로 틀어 비복근을 보여줍니다. 주먹을 꽉쥐어 이두근과 전완근을 수축합니다.
지도방법,웨이트트레이닝,포즈 지도방법,남자 프론트 렛 스프레드 지도방법,전면 광배근을 강조하는 포징으로써 다리는 15CM 로 벌려 대퇴사두근을 수축하고 손은 허리춤에 위치시킨뒤 광배를 힘껏 펼치고 광배근 포함 전면 근육을 수축합니다.
지도방법,웨이트트레이닝,포즈 지도방법,남자 사이드체스트 지도방법,"측면 흉근을 강조하는 포징으로써 왼쪽, 오른쪽 중 자신 있는 방향으로 서서 진행합니다. 심사위원 쪽의 팔은 90도로 구부리고, 다른 한 쪽으로는 손목을 잡습니다. 구부린 팔과 같은 방향의 다리 무릎을 구부리고 발가락으로 지탱합니다. 살짝 동작을 틀어 심사위원 측에 흉근의 수축이 보이게 합니다."
지도방법,웨이트트레이닝,포즈 지도방법,남자 백 더블 바이셉스 지도방법,"후면 상완 이두근을 강조하는 포징으로써 뒤로 돌아 두팔과 손목을 프론트 더블 바이셉스 포즈와 동일하게 취합니다. 이 때 한발은 뒤로 빼서 발가락으로 지탱합니다. 상완 이두근, 허벅지, 비복근을 수축시킵니다."
지도방법,웨이트트레이닝,포즈 지도방법,남자 백 렛 스프레드 지도방법,후면 광배근을 강조하는 포징으로써 뒤로 돌아 프론트 렛 스프레드와 동일하게 포즈를 취합니다. 광배근을 최대한 넓게 수축하는 것이 중요합니다.
지도방법,웨이트트레이닝,포즈 지도방법,남자 사이드 트라이셉스 지도방법,"측면 상완 삼두근을 강조하는 포징으로써 왼쪽, 오른쪽 중 자신 있는 방향으로 서서 진행합니다. 두 손은 몸 뒤쪽에 놓고 심판과 가까운쪽 다리는 굽히고 발바닥 전체를 바닥에 댑니다. 다른 다리는 무릎을 굽히고 발가락으로 지탱합니다. 앞쪽 팔의 상완 삼두근을 수축해야하며 복부, 허벅지, 비복근을 수축해야 합니다."
지도방법,웨이트트레이닝,포즈 지도방법,남자 업도미널 앤 타이 지도방법,복직근과 대퇴 사두근을 강조하는 포징으로써 두팔을 머리 뒤에 놓고 한쪽 발을 앞에 둡니다. 복부를 크런칭 자세로 복부 근육을 수축하는 동시에 하체 전면 근육을 수축합니다.
지도방법,웨이트트레이닝,포즈 지도방법,여자 프론트 더블 바이셉스 지도방법,전면 상완 이두근을 강조하는 포징으로써 정면에서 두 팔을 들어 어깨와 수평을 이루게 한 후 팔꿈치를 구부립니다. 한발은 앞으로 꺼내 옆으로 틀어 비복근을 보여줍니다. 손 모양은 우아하게 꽃처럼 펴주고 이두근 및 전체 근육을 수축합니다.
지도방법,웨이트트레이닝,포즈 지도방법,여자 사이드 체스트 지도방법,"측면 흉근을 강조하는 포징으로써 왼쪽, 오른쪽 중 자신 있는 방향으로 서서 진행합니다. 심사위원 쪽의 발은 심사위원 쪽의 발은 앞으로 쭉 뻗어 발바닥을 지면에 붙이고, 먼 쪽 발은 무릎을 굽히고 발가락으로 지탱합니다. 양 팔은 가슴 아래 앞쪽으로 45도 정도로 뻗고 양손을 포개어 팔 전체의 근육을 수축해 줍니다. 살짝 동작을 틀어 심사위원 측에 흉근의 수축이 보이게 합니다."
지도방법,웨이트트레이닝,포즈 지도방법,여자 백 더블 바이셉스 지도방법,후면 상완 이두근을 강조하는 포징으로써 뒤를 돌아 한발은 뒤로 빼고 발가락으로 지탱합니다. 두팔을 어깨높이까지 올려주고 구부려서 상완 이두근에 힘을 줍니다. 손 모양은 우아하게 꽃처럼 펴주고. 이두근 및 전체 근육을 수축합니다.
지도방법,웨이트트레이닝,포즈 지도방법,여자 사이드 트라이셉스의 지도방법,"측면 상완 삼두근을 강조하는 포징으로써 왼쪽, 오른쪽 중 자신 있는 방향으로 서서 진행합니다. 심사위원 쪽의 발은 앞으로 쭉 뻗어 발바닥을 지면에 붙이고, 먼 쪽 발은 무릎을 굽히고 발가락으로 지탱합니다. 두 팔을 등 뒤에 위치시키고 왼쪽 또는 오른쪽에 있는 손목을 오른쪽 또는 왼쪽 손으로 움켜잡는다. 앞쪽 팔의 상완 삼두근을 수축해야하며 복부, 허벅지, 비복근을 수축해야 합니다."
지도방법,과학적 지도방법,운동생리학,ATP에 대해 설명하세요.,"인체의 에너지원중 하나로, 탄수화물, 지방, 단백질의 대사작용을 통해 신체가 즉각 사용할 수 있는 에너지 형태인 ATP를 생산합니다"
지도방법,과학적 지도방법,운동생리학,에너지 시스템에 대해 설명하세요,"atp pc시스템은 가장 빠르게 활성화되는 시스템이며 10초 내외의 고강도 운동 시에 근세포 내 크레아틴 인산을 분해, atp 를 생산하여 에너지를 공급해줍니다. 운동시간이 10초가 넘어가면 atp pc시스템은 중지되고 젖산시스템으로 변경됩니다. 젖산시스템은 글리코겐을 이용해 에너지를 생성하는데, 이 부산물로 젖산이라는 물질이 발생합니다. 유산소 시스템은 1분 이상의 운동 시에 활성화되어 에너지를 생산하는 시스템입니다. 젖산의 축적을 막으면서 atp를 생산해 장시간 운동이 가능합니다"
지도방법,과학적 지도방법,운동생리학,유산소성 대사와 무산소성 대사를 설명하시오,"유산소성 대사는 미토콘드리아에서 산소를 활용해 ATP를 재합성하여 에너지를 생산해내는 과정입니다. 장거리 달리기, 자전거 타기 등이 이에 해당됩니다. 무산소성 대사는 산소 없이 짧은 시간 안에 강한 근력을 낼 때 사용되는 대사입니다. ATP-PC시스템과 젖산시스템이 이에 해당되며 50m달리기, 투포환 던지기, 역도 등이 이에 해당됩니다."
