gubun,gubun_1,question,answer
규정,종목소개,보디빌딩 예선전 경기방식,"대회 시작 45분 전까지 모인 선수들은 무대에 일렬 혹은 2열로 정렬하여 입장합니다. 예선전은 한 체급 당 15명 이상이 있을 때 실시할 수 있습니다. 선수는 한 명씩 4개의 규정 포즈를 취합니다. 이때 상위 15명이 예선 1라운드로 진출합니다. 예선 1라운드에서는 각 선수의 번호와 국적이 소개되고, 4개 및 7개 규정 포즈에 대한 비교 심사가 이루어집니다. 여기에서 상위 6명이 결선으로 진출합니다."
규정,종목소개,남자 피지크 평가방법,"남자피지크 하체를 평가하지 않아 역삼각형 상체, 피부와 피부톤 조화, 다이어트상태(과도하게 마르면 안됨) , 리듬감 카리스마 개성 필요, 전반적인 육체미"
규정,종목소개,보디빌딩협회연령별 등록구분,16세이하 육성목적 13세이하부 16세이하부/전문체육 19세이하부 대학부 일반부/생활체육 19세이하부 대학부 일반부
규정,종목소개,시합무대의 컬러링,지워질 수 있는 탄 및 컬러링 금지 메탈릭펄 황금빛 색 사용 금지 과도한 오일 금지 24시간전 인공착색 및셀프태닝 제품 가능
규정,종목소개,여자 피지크 체급,"Class A- 163 cm 이하,Class B- 163 cm 초과"
규정,협회최신규정,경기인 등록 날짜,"1차 등록 - 4월10일, 2차 등록 - 7월 10일~30일까지, 다만 신규선수, 심판은 수시등록이 가능합니다"
규정,협회최신규정,선수 결격사유 2개이상,"심판으로 등록한 자, 스포츠 공정위원회에서 제명징계를 받은 자"
규정,협회최신규정,지도자인권침해,"경기실적을 빌미로 인한 협박, 학부모로부터 갑질 횡포를 당하는 것/경기출전 및 훈련에 대한 부당한 압력/폭력 잠재적 가해자로 대하는 행위/무고 또는 허위사실에 대한 신고"
규정,협회최신규정,대학생 경기인 등록,"규정에 따라 대학생 신분으로 전문체육, 생활체육 목적부로 등록한 사람을 지칭합니다."
규정,협회최신규정,도핑방지규정에서 자격정지 몇년으로 어떻게 구분하는지,2~4년 자격정지 경기중 투여시 영구정지
규정,협회최신규정,선수등록 제한 3가지 이상,자격정지중인 상태. 협회제명. 당해년도 동일종목 심판등록. 승부조작에 가담한자. 미성년자 성폭행 법죄이력이 있는 자
규정,협회최신규정,대한보디빌딩협회에 등록된 경기인의 활동자격,"전문체육목적의 부로 등록한 사람은 전문체육대회에만 참가할 수 있으며, 생활체육목적부로 등록한 사람은 생활체육대회에만 참가할 수 있습니다. "
규정,협회최신규정,선수 소속단체와 등록지 변경방법,등록변경 신청 후 이적동의서 시도지부 제출 승인 후 변경가능하며 1년에 한번 가능하나 당해 년도 1회 이상 출전 시 이적불가
규정,협회최신규정,생활체육지도자의 자질에대해 설명,"도덕적 품성을 지녀야하며 공정성을 준수하고 의사전달력을 겸비하고 활달하고 강인한 성격, 나아가 투철한 사명감을 지녀야합니다"
규정,협회최신규정,보디빌딩협회 심판 등록 절차와 방법,스포츠 지원포털을 이용하여 등록신청을 한뒤 협회에 신청서 제출하여 승인받는다
규정,협회최신규정,스포츠대회 금지약물 투약기간,"시합 6개월 전 복용 중지, 시합 30일전 TUE승인 받아야함"
규정,협회최신규정,국내 보디빌딩 심판 자격과 활동 범위,국내심판 1급은 전국대회와 지역대회/국내심판 2급은 지역대회에 출전가능하다
규정,협회최신규정,도핑방지 선수의무 6가지중 2가지,"(1) 한국도핑방지규정을 숙지하고 준수하여야 한다.(2) 언제나 시료채취가 가능하도록 하여야 한다.(3) 도핑방지와 관련하여 자신의 체내에 유입되는 모든 성분에 대하여 책임을 진다.(4) 지도자 또는 의료진에게 선수 자신에게 금지약물과 금지방법을 사용하지 않아야 함을 알리고, 그들의 지원이나 의료처치가 이 규정을 위반하지 않는지 확인할 책임을 진다.(5) 과거 10년 이내에 세계도핑방지규약의 비가맹기구로부터 도핑방지규정위반 결정을 통지받은경우, 이를 도핑방지위원회와 국제경기연맹에 알려야 한다.(6) 도핑방지규정위반과 관련한 도핑방지기구의 조사에 적극적으로 협력하여아 한다."
규정,협회최신규정,Tue면책조건,금지약물을 사용 안하면 생명에 큰 지장이 생기는 경우. 금지약물이 경기력 향상에 도움이 안되는 경우. 금지약물 외에 다른 치료법이 없는 경우
규정,협회최신규정,경기인등록규정 일반부,20세이상 선수중 대학생이아닌사람
규정,협회최신규정,학부모가 지도자에게 주의할점,"사적만남금지, 자기 자식만 잘 봐달라는 편애 금지, 지도자의최소인권보장(지도자의 인권침해), 과도한 훈련  체벌기합요청금지"
규정,협회최신규정,경기인등록 취소의 경우 설명,"피성년후견인 ,법률의거 자격정지또는상실/ 미성년성범죄 ,선수폭행 10년이내 ,체육관련단체 자격정지 이상 징계처분 받고 그처분이끝나지않은자"
규정,협회최신규정,TUE에 대해서,선수가 질병치료나 부상회복을 위해 금지약물을 사용해야하는 경우/치료목적사용면책 국제표준에 따라 심사 후 사전 승인하는 제도
규정,협회최신규정,도핑방지규정,시료에 금지약물존재/소재지정보 제출 불이행/도핑관리기간중 부정행위 또는 시도
규정,협회최신규정,경기 등록자의 취소 사유,협회는 경기인이 스포츠공정위원회 규정 제 27조에 따라 해임 또는 자격정지의 징계를 받은 경우 경기인 등록을 즉시 해지하여야한다
규정,협회최신규정,금지약물 3가지와 부작용,"아나볼릭스테로이드,코카인,에페드린/부작용으로 심장질환, 탈모, 간기능 , 성기능장애"
규정,협회최신규정,"스포츠 도핑에 관해 진행,담당자의 역할 2가지 ","금지약물 복용 적발, 검사 절차 안내, 대상자 안내 등  "
규정,협회최신규정,도핑의 원리,"금지된 물질이나 방법을 사용하여 스포츠 선수의 성능을 인공적으로 향상시키는 것으로, 공정성과 안전성을 침해하고 엄격히 금지됩니다."
규정,협회최신규정,도핑검사에 대한 선수의 의무를 설명하시오,"도핑 검사에 대한 선수의 의무는 소재지 정보 제공, 도핑 규정 준수, 도핑 검사에 책임을 지기"
